cplex,el0ps,l0bnb,mosek,mosek_oa,tgrid
,0.0,,,,0.01
,0.0,,,,0.0112332403297802
,0.0,,,,0.0126185688306602
,0.0,,,,0.014174741629268
,0.0,,,,0.0159228279334109
,0.0,,,,0.0178864952905743
,0.0,,,,0.0200923300256504
,0.0,,,,0.0225701971963392
,0.0,,,,0.0253536449397011
,0.0,,,,0.028480358684358
,1.0,,,,0.0319926713779738
,1.0,,,,0.0359381366380462
,1.0,,,,0.0403701725859655
,2.0,,,,0.0453487850812858
,3.0,,,,0.0509413801481638
,3.0,,,,0.0572236765935021
,3.0,,,,0.0642807311728431
,3.0,,,,0.0722080901838546
,3.0,,,,0.0811130830789687
,4.0,,,,0.0911162756115489
,5.0,,,,0.1023531021899026
,6.0,,,,0.1149756995397735
,7.0,,,,0.1291549665014884
,8.0,,,,0.1450828778495939
,10.0,,,,0.1629750834620644
,14.0,,,,0.1830738280295367
,14.0,,,,0.2056512308348651
,17.0,,,,0.2310129700083159
,19.0,,,,0.2595024211399735
,19.0,,,,0.2915053062825176
,22.0,,,,0.3274549162877728
,24.0,,,,0.3678379771828632
,26.0,,,,0.4132012400115336
,30.0,,,,0.464158883361278
,31.0,,,,0.5214008287999684
,36.0,,,,0.5857020818056667
,36.0,,,,0.6579332246575679
,37.0,,,,0.739072203352578
,38.0,,,,0.8302175681319743
,39.0,,,,0.93260334688322
,41.0,,,,1.0476157527896652
,46.0,,,,1.1768119524349978
,47.0,,,,1.3219411484660286
,49.0,,,,1.484968262254465
,53.0,,,,1.6681005372000592
,56.0,,,,1.873817422860383
,59.0,,,,2.10490414451202
,63.0,,,,2.364489412645407
,64.0,,,,2.656087782946687
,65.0,,,,2.9836472402833403
,67.0,,,,3.351602650938841
,73.0,,,,3.7649358067924674
,74.0,,,,4.229242874389499
,75.0,,,,4.750810162102798
,78.0,,,,5.336699231206307
,80.0,,,,5.994842503189409
,82.0,,,,6.734150657750821
,84.0,,,,7.56463327554629
,87.0,,,,8.497534359086439
,89.0,,,,9.545484566618338
,90.0,,,,10.722672220103233
,91.0,,,,12.045035402587825
,92.0,,,,13.53047774579806
,93.0,,,,15.199110829529332
,94.0,,,,17.073526474706906
,95.0,,,,19.179102616724887
,97.0,,,,21.54434690031885
,97.0,,,,24.20128264794381
,97.0,,,,27.1858824273294
,98.0,,,,30.53855508833416
,98.0,,,,34.30469286314919
,99.0,,,,38.53528593710527
,99.0,,,,43.28761281083057
,99.0,,,,48.62601580065353
,100.0,,,,54.62277217684343
,100.0,,,,61.35907273413169
,100.0,,,,68.92612104349695
,100.0,,,,77.4263682681127
,100.0,,,,86.97490026177834
,100.0,,,,97.70099572992248
,100.0,,,,109.74987654930568
,100.0,,,,123.2846739442066
,100.0,,,,138.48863713938718
,100.0,,,,155.56761439304722
,100.0,,,,174.7528400007683
,100.0,,,,196.30406500402725
,100.0,,,,220.51307399030452
,100.0,,,,247.70763559917089
,100.0,,,,278.2559402207126
,100.0,,,,312.5715849688235
,100.0,,,,351.1191734215128
,100.0,,,,394.4206059437656
,100.0,,,,443.06214575838777
,100.0,,,,497.7023564332114
,100.0,,,,559.0810182512223
,100.0,,,,600.0
