cplex,el0ps,l0bnb,mosek,mosek_oa,tgrid
0.0,0.0,0.0,0.0,0.0,0.01
0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.0,0.1097498765493056
0.0,0.0,0.0,0.0,0.0,0.1204503540258782
0.0,0.0,0.0,0.0,0.0,0.1321941148466029
0.0,0.0,0.0,0.0,0.0,0.1450828778495939
0.0,0.0,0.0,0.0,0.0,0.1592282793341092
0.0,0.0,0.0,0.0,0.0,0.1747528400007683
0.0,0.0,0.0,0.0,0.0,0.1917910261672488
0.0,1.0,0.0,0.0,0.0,0.2104904144512021
0.0,1.0,0.0,0.0,0.0,0.2310129700083159
0.0,3.0,0.0,0.0,0.0,0.2535364493970112
0.0,3.0,0.0,0.0,0.0,0.2782559402207124
0.0,4.0,0.0,0.0,0.0,0.3053855508833415
0.0,4.0,0.0,0.0,0.0,0.3351602650938842
0.0,8.0,0.0,0.0,0.0,0.3678379771828634
0.0,9.0,0.0,0.0,0.0,0.4037017258596554
0.0,10.0,0.0,0.0,0.0,0.4430621457583881
0.0,12.0,0.0,0.0,0.0,0.4862601580065355
0.0,12.0,0.0,0.0,0.0,0.533669923120631
0.0,13.0,0.0,0.0,0.0,0.5857020818056667
0.0,13.0,0.0,0.0,0.0,0.6428073117284322
0.0,18.0,0.0,0.0,0.0,0.7054802310718644
0.0,21.0,0.0,0.0,0.0,0.7742636826811272
0.0,21.0,0.0,0.0,0.0,0.8497534359086445
0.0,22.0,0.0,0.0,0.0,0.93260334688322
0.0,24.0,0.0,0.0,0.0,1.0235310218990263
0.0,26.0,0.0,0.0,0.0,1.1233240329780276
0.0,26.0,0.0,0.0,0.0,1.2328467394420666
0.0,31.0,0.0,0.0,0.0,1.3530477745798075
0.0,36.0,0.0,0.0,0.0,1.484968262254465
0.0,38.0,0.0,0.0,0.0,1.6297508346206444
0.0,41.0,0.0,0.0,0.0,1.7886495290574351
0.0,44.0,0.0,0.0,0.0,1.9630406500402715
0.0,46.0,0.0,0.0,0.0,2.1544346900318843
0.0,46.0,0.0,0.0,0.0,2.3644894126454084
0.0,49.0,0.0,0.0,0.0,2.5950242113997373
0.0,49.0,0.0,0.0,0.0,2.848035868435802
0.0,54.0,0.0,0.0,0.0,3.1257158496882367
0.0,54.0,0.0,0.0,0.0,3.4304692863149193
0.0,55.0,0.0,0.0,0.0,3.764935806792469
0.0,56.0,0.0,0.0,0.0,4.132012400115339
0.0,62.0,0.0,0.0,0.0,4.5348785081285845
0.0,63.0,0.0,0.0,0.0,4.977023564332112
0.0,63.0,0.0,0.0,0.0,5.462277217684343
0.0,64.0,0.0,0.0,0.0,5.994842503189412
0.0,68.0,0.0,0.0,0.0,6.5793322465756825
0.0,68.0,0.0,0.0,0.0,7.220809018385467
0.0,68.0,0.0,0.0,0.0,7.924828983539178
0.0,68.0,0.0,0.0,0.0,8.697490026177835
0.0,71.0,0.0,0.0,0.0,9.545484566618342
0.0,72.0,1.0,0.0,0.0,10.476157527896651
0.0,72.0,1.0,0.0,0.0,11.497569953977369
0.0,73.0,1.0,0.0,0.0,12.61856883066021
0.0,77.0,2.0,0.0,0.0,13.848863713938732
0.0,78.0,2.0,0.0,0.0,15.199110829529348
0.0,79.0,3.0,0.0,0.0,16.68100537200059
0.0,79.0,7.0,0.0,0.0,18.307382802953697
0.0,83.0,7.0,0.0,0.0,20.09233002565048
0.0,83.0,7.0,0.0,0.0,22.051307399030456
0.0,83.0,12.0,0.0,0.0,24.201282647943835
0.0,85.0,12.0,0.0,0.0,26.560877829466868
0.0,86.0,15.0,0.0,0.0,29.150530628251783
0.0,87.0,17.0,0.0,0.0,31.99267137797385
0.0,88.0,19.0,0.0,0.0,35.111917342151344
0.0,90.0,19.0,0.0,0.0,38.535285937105314
0.0,90.0,19.0,0.0,0.0,42.29242874389499
0.0,91.0,21.0,0.0,0.0,46.41588833612782
0.0,91.0,23.0,0.0,0.0,50.9413801481638
0.0,91.0,23.0,0.0,0.0,55.90810182512229
0.0,92.0,25.0,0.0,1.0,61.35907273413176
0.0,92.0,27.0,0.0,3.0,67.34150657750828
0.0,92.0,29.0,0.0,4.0,73.90722033525783
0.0,92.0,31.0,0.0,6.0,81.11308307896873
0.0,92.0,31.0,0.0,6.0,89.02150854450393
0.0,92.0,31.0,0.0,6.0,97.70099572992255
0.0,94.0,35.0,1.0,9.0,107.22672220103244
0.0,95.0,37.0,5.0,10.0,117.68119524349991
0.0,97.0,41.0,6.0,17.0,129.1549665014884
0.0,97.0,49.0,7.0,19.0,141.7474162926806
0.0,97.0,50.0,11.0,23.0,155.56761439304722
0.0,97.0,52.0,13.0,27.0,170.7352647470692
0.0,97.0,55.0,13.0,29.0,187.3817422860385
0.0,97.0,58.0,16.0,31.0,205.65123083486537
1.0,97.0,59.0,19.0,35.0,225.70197196339217
1.0,99.0,62.0,23.0,36.0,247.7076355991711
3.0,99.0,62.0,27.0,40.0,271.85882427329426
4.0,99.0,64.0,35.0,45.0,298.364724028334
4.0,99.0,65.0,39.0,49.0,327.4549162877732
4.0,99.0,67.0,42.0,54.0,359.3813663804629
4.0,100.0,73.0,46.0,59.0,394.420605943766
6.0,100.0,82.0,51.0,62.0,432.87612810830615
8.0,100.0,85.0,57.0,67.0,475.0810162102798
8.0,100.0,87.0,60.0,71.0,521.400828799969
8.0,100.0,87.0,61.0,74.0,572.236765935022
8.0,100.0,87.0,77.0,81.0,600.0
