cplex,el0ps,l0bnb,mosek,mosek_oa,tgrid
,0.0,,,,0.01
,0.0,,,,0.1
,1.0,,,,0.1097498765493056
,3.0,,,,0.1204503540258782
,4.0,,,,0.1321941148466029
,4.0,,,,0.1450828778495939
,6.0,,,,0.1592282793341092
,7.0,,,,0.1747528400007683
,7.0,,,,0.1917910261672488
,10.0,,,,0.2104904144512021
,12.0,,,,0.2310129700083159
,14.0,,,,0.2535364493970112
,17.0,,,,0.2782559402207124
,19.0,,,,0.3053855508833415
,22.0,,,,0.3351602650938842
,25.0,,,,0.3678379771828634
,26.0,,,,0.4037017258596554
,28.0,,,,0.4430621457583881
,32.0,,,,0.4862601580065355
,35.0,,,,0.533669923120631
,38.0,,,,0.5857020818056667
,38.0,,,,0.6428073117284322
,41.0,,,,0.7054802310718644
,41.0,,,,0.7742636826811272
,41.0,,,,0.8497534359086445
,43.0,,,,0.93260334688322
,43.0,,,,1.0235310218990263
,46.0,,,,1.1233240329780276
,46.0,,,,1.2328467394420666
,46.0,,,,1.3530477745798075
,51.0,,,,1.484968262254465
,52.0,,,,1.6297508346206444
,54.0,,,,1.7886495290574351
,55.0,,,,1.9630406500402715
,57.0,,,,2.1544346900318843
,59.0,,,,2.3644894126454084
,64.0,,,,2.5950242113997373
,67.0,,,,2.848035868435802
,71.0,,,,3.1257158496882367
,71.0,,,,3.4304692863149193
,77.0,,,,3.764935806792469
,81.0,,,,4.132012400115339
,84.0,,,,4.5348785081285845
,84.0,,,,4.977023564332112
,86.0,,,,5.462277217684343
,86.0,,,,5.994842503189412
,86.0,,,,6.5793322465756825
,88.0,,,,7.220809018385467
,88.0,,,,7.924828983539178
,90.0,,,,8.697490026177835
,90.0,,,,9.545484566618342
,90.0,,,,10.476157527896651
,91.0,,,,11.497569953977369
,93.0,,,,12.61856883066021
,94.0,,,,13.848863713938732
,96.0,,,,15.199110829529348
,96.0,,,,16.68100537200059
,96.0,,,,18.307382802953697
,96.0,,,,20.09233002565048
,96.0,,,,22.051307399030456
,99.0,,,,24.201282647943835
,100.0,,,,26.560877829466868
,100.0,,,,29.150530628251783
,100.0,,,,31.99267137797385
,100.0,,,,35.111917342151344
,100.0,,,,38.535285937105314
,100.0,,,,42.29242874389499
,100.0,,,,46.41588833612782
,100.0,,,,50.9413801481638
,100.0,,,,55.90810182512229
,100.0,,,,61.35907273413176
,100.0,,,,67.34150657750828
,100.0,,,,73.90722033525783
,100.0,,,,81.11308307896873
,100.0,,,,89.02150854450393
,100.0,,,,97.70099572992255
,100.0,,,,107.22672220103244
,100.0,,,,117.68119524349991
,100.0,,,,129.1549665014884
,100.0,,,,141.7474162926806
,100.0,,,,155.56761439304722
,100.0,,,,170.7352647470692
,100.0,,,,187.3817422860385
,100.0,,,,205.65123083486537
,100.0,,,,225.70197196339217
,100.0,,,,247.7076355991711
,100.0,,,,271.85882427329426
,100.0,,,,298.364724028334
,100.0,,,,327.4549162877732
,100.0,,,,359.3813663804629
,100.0,,,,394.420605943766
,100.0,,,,432.87612810830615
,100.0,,,,475.0810162102798
,100.0,,,,521.400828799969
,100.0,,,,572.236765935022
,100.0,,,,600.0
