cplex,el0ps,l0bnb,mosek,mosek_oa,tgrid
0.0,0.0,,0.0,0.0,0.01
0.0,0.0,,0.0,0.0,0.0112332403297802
0.0,0.0,,0.0,0.0,0.0126185688306602
0.0,0.0,,0.0,0.0,0.014174741629268
0.0,0.0,,0.0,0.0,0.0159228279334109
0.0,0.0,,0.0,0.0,0.0178864952905743
0.0,0.0,,0.0,0.0,0.0200923300256504
0.0,0.0,,0.0,0.0,0.0225701971963392
0.0,0.0,,0.0,0.0,0.0253536449397011
0.0,0.0,,0.0,0.0,0.028480358684358
0.0,0.0,,0.0,0.0,0.0319926713779738
0.0,0.0,,0.0,0.0,0.0359381366380462
0.0,0.0,,0.0,0.0,0.0403701725859655
0.0,0.0,,0.0,0.0,0.0453487850812858
0.0,0.0,,0.0,0.0,0.0509413801481638
0.0,0.0,,0.0,0.0,0.0572236765935021
0.0,0.0,,0.0,0.0,0.0642807311728431
0.0,0.0,,0.0,0.0,0.0722080901838546
0.0,1.0,,0.0,0.0,0.0811130830789687
0.0,1.0,,0.0,0.0,0.0911162756115489
0.0,3.0,,0.0,0.0,0.1023531021899026
0.0,3.0,,0.0,0.0,0.1149756995397735
0.0,3.0,,0.0,0.0,0.1291549665014884
0.0,3.0,,0.0,0.0,0.1450828778495939
0.0,3.0,,0.0,0.0,0.1629750834620644
0.0,3.0,,0.0,0.0,0.1830738280295367
0.0,5.0,,0.0,0.0,0.2056512308348651
0.0,5.0,,0.0,0.0,0.2310129700083159
0.0,7.0,,0.0,0.0,0.2595024211399735
0.0,7.0,,0.0,0.0,0.2915053062825176
0.0,7.0,,0.0,0.0,0.3274549162877728
0.0,7.0,,0.0,0.0,0.3678379771828632
0.0,7.0,,0.0,0.0,0.4132012400115336
0.0,7.0,,0.0,0.0,0.464158883361278
0.0,7.0,,0.0,0.0,0.5214008287999684
0.0,12.0,,0.0,0.0,0.5857020818056667
0.0,12.0,,0.0,0.0,0.6579332246575679
0.0,13.0,,0.0,0.0,0.739072203352578
0.0,16.0,,0.0,0.0,0.8302175681319743
0.0,20.0,,0.0,0.0,0.93260334688322
0.0,22.0,,0.0,0.0,1.0476157527896652
0.0,24.0,,0.0,0.0,1.1768119524349978
0.0,24.0,,0.0,0.0,1.3219411484660286
0.0,25.0,,0.0,0.0,1.484968262254465
0.0,28.0,,0.0,0.0,1.6681005372000592
0.0,29.0,,0.0,0.0,1.873817422860383
0.0,29.0,,0.0,0.0,2.1049041445120196
0.0,33.0,,0.0,0.0,2.364489412645407
0.0,34.0,,0.0,0.0,2.656087782946687
0.0,36.0,,0.0,0.0,2.9836472402833403
0.0,38.0,,0.0,0.0,3.351602650938841
0.0,42.0,,0.0,0.0,3.7649358067924674
0.0,47.0,,0.0,0.0,4.229242874389499
0.0,47.0,,0.0,0.0,4.750810162102798
0.0,50.0,,0.0,0.0,5.336699231206307
0.0,54.0,,0.0,0.0,5.994842503189409
0.0,58.0,,0.0,0.0,6.7341506577508214
0.0,61.0,,0.0,0.0,7.56463327554629
0.0,63.0,,0.0,0.0,8.497534359086439
0.0,64.0,,0.0,0.0,9.545484566618338
0.0,68.0,,0.0,0.0,10.722672220103233
0.0,68.0,,0.0,0.0,12.045035402587825
0.0,72.0,,0.0,0.0,13.53047774579806
0.0,74.0,,0.0,0.0,15.199110829529332
0.0,76.0,,0.0,0.0,17.073526474706906
0.0,79.0,,0.0,0.0,19.179102616724887
0.0,80.0,,0.0,0.0,21.54434690031885
0.0,84.0,,0.0,0.0,24.20128264794381
0.0,84.0,,0.0,0.0,27.1858824273294
0.0,87.0,,0.0,0.0,30.538555088334157
0.0,87.0,,0.0,0.0,34.30469286314919
0.0,88.0,,0.0,0.0,38.53528593710527
0.0,88.0,,0.0,0.0,43.28761281083057
0.0,91.0,,0.0,0.0,48.62601580065353
0.0,93.0,,0.0,0.0,54.62277217684343
0.0,95.0,,0.0,1.0,61.35907273413169
0.0,95.0,,0.0,1.0,68.92612104349695
0.0,95.0,,0.0,3.0,77.4263682681127
0.0,96.0,,0.0,7.0,86.97490026177834
0.0,97.0,,1.0,11.0,97.70099572992248
0.0,97.0,,1.0,11.0,109.74987654930568
1.0,97.0,,1.0,14.0,123.2846739442066
3.0,97.0,,5.0,17.0,138.48863713938718
4.0,99.0,,5.0,21.0,155.56761439304722
4.0,99.0,,7.0,21.0,174.7528400007683
5.0,99.0,,8.0,35.0,196.30406500402725
9.0,99.0,,9.0,35.0,220.51307399030455
12.0,99.0,,13.0,39.0,247.70763559917089
13.0,99.0,,14.0,44.0,278.2559402207126
14.0,100.0,,21.0,45.0,312.5715849688235
18.0,100.0,,25.0,51.0,351.11917342151276
22.0,100.0,,29.0,53.0,394.4206059437656
25.0,100.0,,30.0,57.0,443.06214575838777
28.0,100.0,,41.0,57.0,497.7023564332114
32.0,100.0,,45.0,64.0,559.0810182512223
37.0,100.0,,47.0,68.0,600.0
